"CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2(WT%)","TIO2(WT%)","ZRO2(WT%)","HFO2(WT%)","THO2(WT%)","UO2(WT%)","UO3(WT%)","AL2O3(WT%)","CR2O3(WT%)","LA2O3(WT%)","CE2O3(WT%)","CEO2(WT%)","ND2O3(WT%)","SM2O3(WT%)","EU2O3(WT%)","GD2O3(WT%)","DY2O3(WT%)","ER2O3(WT%)","Y2O3(WT%)","V2O3(WT%)","V2O5(WT%)","NB2O3(WT%)","NB2O5(WT%)","TA2O3(WT%)","TA2O5(WT%)","PR2O3(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","SRO(WT%)","PBO(WT%)","SNO2(WT%)","NIO(WT%)","ZNO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","F(WT%)","CL(WT%)","OH(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","FE(WT%)","NA(WT%)","HE(MOL/G)","LI(PPM)","BE(PPM)","B(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","SI(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","CD(PPM)","SN(PPM)","SB(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","TL(PPM)","PB(PPM)","PB204(PPM)","PB206(PPM)","PB207(PPM)","PB208(PPM)","BI(PPM)","TH(PPM)","TH232(PPM)","U(PPM)","U238(PPM)","ND143_ND144","ND145_ND144","ND146_ND144","ND148_ND144","ND150_ND144","SM147_ND144","SR87_SR86","RB87_SR86","PB206_PB204","PB206_PB207","PB206_PB208","PB207_PB204","PB207_PB206","PB208_PB204","PB208_PB206","CE138_CE142","LA138_CE142","PB206_U238","PB207_U235","PB208_TH232","RA226_TH230_ACT","TH230_TH232_ACT","TH230_U238_ACT","U234_U238_ACT","U238_PB204","U238_PB206","U238_TH232_ACT","D18O(‰)","D18O(‰VSMOW)","CHROMITE(MOL%)","HERCYNITE(MOL%)","JACOBSITE(MOL%)","MG-CHROMITE(MOL%)","MAGNESIOFERRITE(MOL%)","MAGNETITE(MOL%)","SPINEL(MOL%)","ULVOSPINEL(MOL%)","AGE(KA)","AGE(MA)",
"[21629] PE-PIPER G. (2018)","samp. 7106","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","4.02","16.41","","","","","","1.87","0.35","0","0","","0","","","","","","","","0","","","","","","","","75.07","","0","1.59","0","","","","","","0","0.67","0","0","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 7106","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","4.45","12.26","","","","","","2","0.32","0","0","","0","","","","","","","","0","","","","","","","","79.49","","0","0.88","0","","","","","","0","0.6","0","0","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 7106","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","1.03","0","","","","","","0.62","0","0","0","","0","","","","","","","","0","","","","","","","","1.4","","45.15","0","0","","","","","","0","0.36","0","42.78","","8.64","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 7106","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","9.07","0","","","","","","6.52","0","0","0","","0","","","","","","","","0","","","","","","","","10.09","","31.36","3.43","0","","","","","","0","0","0","34.33","","5.21","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 7106","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","0.83","0","","","","","","0.62","0","0","0","","0","","","","","","","","0","","","","","","","","0.76","","46.26","0","0","","","","","","0","0.2","0","43.26","","7.82","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 7106","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","5.56","7.59","","","","","","2.74","0","0","0","","0","","","","","","","","0","","","","","","","","80.73","","0","2.65","0","","","","","","0","0.73","0","0","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 1882","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","0","12.06","","","","","","0","0","0","0","","0","","","","","","","","0","","","","","","","","87.04","","0.37","0","0.53","","","","","","0","0","0","0","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 1882","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","4.67","3.68","","","","","","0.67","0","0","0","","0","","","","","","","","0","","","","","","","","88.29","","2.2","0","0","","","","","","0","0.51","0","0","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 1882","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","16.3","22.26","","","","","","1.06","0","0","0","","0","","","","","","","","0","","","","","","","","47.96","","11.86","0","0.55","","","","","","0","0","0","0","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 1882","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","34.71","33.2","","","","","","2.67","0","0","0","","0","","","","","","","","0","","","","","","","","2.54","","26.13","0.75","0","","","","","","0","0","0","0","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 1882","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","4.58","3.47","","","","","","0.71","0","0","0","","0","","","","","","","","0","","","","","","","","88.7","","2.53","0","0","","","","","","0","0","0","0","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 1882","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","30.08","37.67","","","","","","1.43","0","0","0","","0","","","","","","","","0","","","","","","","","6.42","","24.02","0","0.37","","","","","","0","0","0","0","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 1882","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","3.44","0","","","","","","2.27","0","0","0","","0","","","","","","","","0","","","","","","","","93.35","","0.94","0","0","","","","","","0","0","0","0","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 1882","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","0","11.18","","","","","","0","0","0","0","","0","","","","","","","","0","","","","","","","","87.98","","0.41","0","0.43","","","","","","0","0","0","0","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 1882","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","0","16.31","","","","","","0","0","0","0","","0","","","","","","","","0","","","","","","","","82.35","","0.42","0","0.92","","","","","","0","0","0","0","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 1882","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","32.9","32.81","","","","","","1.54","0","0","0","","0","","","","","","","","0","","","","","","","","9.15","","23.6","0","0","","","","","","0","0","0","0","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 1882","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","24.74","22.64","","","","","","1.24","0","0","0","","0","","","","","","","","0","","","","","","","","34.36","","17.02","0","0","","","","","","0","0","0","0","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 1882","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","35.1","27.98","","","","","","3.84","0","0","0","","0","","","","","","","","0","","","","","","","","9.06","","20.47","2.41","0","","","","","","0","1.15","0","0","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 1882","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","34.86","30.55","","","","","","2.2","0","0","0","","0","","","","","","","","0","","","","","","","","6.4","","23.42","0.61","0","","","","","","0","0.69","0","1.28","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 1882","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","32","36.32","","","","","","1.22","0","0","0","","0","","","","","","","","0","","","","","","","","4.22","","26.23","0","0","","","","","","0","0","0","0","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 1882","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","0","15.72","","","","","","0","0","0","0","","0","","","","","","","","0","","","","","","","","83.85","","0","0","0.44","","","","","","0","0","0","0","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 1882","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","35.07","33.83","","","","","","2.36","0","0","0","","0","","","","","","","","0","","","","","","","","2.68","","25.77","0","0","","","","","","0","0.29","0","0","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 1882","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","31.95","32.5","","","","","","2.24","0","0","0","","0","","","","","","","","0","","","","","","","","1.41","","27.55","0","0","","","","","","0","0.25","0","3.37","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 1882","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","34.68","30.25","","","","","","3.48","0","0","0","","0","","","","","","","","0","","","","","","","","5.69","","23.07","1.7","0","","","","","","0","1.14","0","0","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 1882","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","0","15.23","","","","","","0","0","0","0","","0","","","","","","","","0","","","","","","","","84.39","","0","0","0.38","","","","","","0","0","0","0","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 1882","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","42.41","0","","","","","","24.23","0","0","0","","0","","","","","","","","0","","","","","","","","11.93","","20.54","0","0.33","","","","","","0","0.55","0","0","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 1882","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","1.69","0","","","","","","0.92","0","0","0","","0","","","","","","","","0","","","","","","","","96.63","","0.75","0","0","","","","","","0","0","0","0","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 1882","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","32.95","26.52","","","","","","1.74","0","0","0","","0","","","","","","","","0","","","","","","","","19.13","","19.65","0","0","","","","","","0","0","0","0","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 1882","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","32.62","21.65","","","","","","2.25","0","0","0","","0","","","","","","","","0","","","","","","","","26.05","","16.45","0.68","0","","","","","","0","0.3","0","0","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 1882","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","32.11","24.29","","","","","","1.66","0","0","0","","0","","","","","","","","0","","","","","","","","23.93","","18.02","0","0","","","","","","0","0","0","0","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 1882","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","41.44","28.2","","","","","","1.38","0","0","0","","0","","","","","","","","0","","","","","","","","8.11","","20.53","0","0","","","","","","0","0.35","0","0","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 1882","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","1.16","0.99","","","","","","0","0","0","0","","0","","","","","","","","0","","","","","","","","97.36","","0.5","0","0","","","","","","0","0","0","0","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 1882","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","0.95","1.13","","","","","","0","0","0","0","","0","","","","","","","","0","","","","","","","","97.33","","0.59","0","0","","","","","","0","0","0","0","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[21629] PE-PIPER G. (2018)","samp. 1882","RIFT VOLCANICS","APPALACHIANS / NORTHERN APPALACHIANS / AVALON ZONE","AREA IN AND AROUND THE WEST MOOSE RIVER PLUTON, COBEQUID HIGHLANDS","45.5","45.5","-64","-64","subaerial","","","KERSANTITE","","","","","TITANITE (SPHENE)","","","","","primary","29.12","26.26","","","","","","1.47","0","0","0","","0","","","","","","","","0","","","","","","","","24.06","","19.09","0","0","","","","","","0","0","0","0","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
